Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки
Моделирование и анализ в среде R с использованием пакета Shiny. Учебно-методическое пособие,Лукьянов Павел Борисович,,484₽,1 076₽
DAX для профессионалов. Теория и практика. Выведи свои аналитические навыки в Microsoft Power BI,Розема,,2 433₽,5 407₽
Django 4 в примерах. Разрабатывайте мощные и надежные веб-приложения на Python с нуля,Меле Антонио,,3 365₽,7 478₽
Введение в автоматизированное машинное обучение (AutoML),Хуттер,,2 085₽,4 634₽
Java. Руководство для начинающих,Шилдт Герберт,,2 420₽,5 378₽
Технология Java Card для смарт-карт. Архитектура и руководство программиста,Чен Жикун,Техносфера:Мир программирования,205₽,456₽
Методы анализа логических корреляций для САПР цифровых КМОП СБИС,Гаврилов Сергей Витальевич,Техносфера:Мир цифровой обработки,174₽,386₽
Цифровые видеоинформационные системы. Теория и практика,Дворкович,Техносфера:Мир цифровой обработки,1 008₽,2 240₽
Цифровая обработка сигналов атомарными функциями и вейвлетами,Кравченко,Техносфера:Мир цифровой обработки,615₽,1 366₽
JavaScript с нуля до профи,Свекис,Питер:Библиотека программиста,2 268₽,2 908₽
Python для финансистов,Хилпиш Ив,Питер:Бестселлеры O`Reilly,2 637₽,
Новые возможности JavaScript. Как написать чистый код по всем правилам современного языка,Краудер Ти Джей,Бомбора:Мировой компьютерный бестселлер,1 862₽,2 551₽
JavaScript. Креативное программирование. Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1 654₽,3 676₽
JavaScript. Креативное программирование. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1 439₽,3 198₽
Машинно-ориентированные языки программирования. Введение в ассемблер. Учебное пособие,Бунаков Павел Юрьевич,Лань:Компьютеры и программное обеспечение,1 027₽,2 283₽
Машинно-ориентированные языки программирования. Введение в ассемблер. Учебное пособие,Бунаков Павел Юрьевич,Лань:Компьютеры и программное обеспечение,894₽,1 986₽
Программирование. Лабораторный практикум. Учебное пособие,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,742₽,1 649₽
Программирование. Лабораторный практикум. Учебное пособие,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,645₽,1 434₽
Программирование. Основы Python для инженеров. Учебное пособие для вузов,Никитина,Лань:Компьютеры и программное обеспечение,874₽,1 943₽
Программирование. Основы Python. Учебное пособие для СПО,Никитина,Лань:Компьютеры и программное обеспечение,761₽,1 691₽
Разработка приложений с графическим пользовательским интерфейсом на языке Python. Учебное пособие,Букунов,Лань:Компьютеры и программное обеспечение,444₽,986₽
C++ для IT-профессий. Учебник,Дирк Харди,Фолиант:Профессиональное образование,2 189₽,
Java для IT-профессий. Учебник,Дирк Харди,Фолиант:Профессиональное образование,3 676₽,
Создание микросервисов,Ньюмен Сэм,Питер:Бестселлеры O`Reilly,2 408₽,3 010₽
Усовершенствованные структуры данных,Брасс Петер,,2 781₽,6 179₽
Рекурсивная книга о рекурсии,Свейгарт Эл,Питер:Библиотека программиста,2 268₽,2 908₽
MySQL по максимуму,Ботрос,Питер:Бестселлеры O`Reilly,2 921₽,3 745₽
Software. Ошибки и компромиссы при разработке ПО,Лелек,Питер:Библиотека программиста,3 262₽,4 182₽
Python для хакеров. Нетривиальные задачи и проекты,Воган Ли,Питер:Библиотека программиста,1 972₽,2 528₽
Методы линейного программирования,Божко,,366₽,814₽
Освоение Lightning Network. Протокол второслойной блочной цепи для мгновенных Bitcoin-платежей,Антонопулос,,2 781₽,6 179₽
Паттерны проектирования API,Гивакс Джей Джей,Питер:Библиотека программиста,4 274₽,
Apache Kafka. Потоковая обработка и анализ данных,Шапира,Питер:Бестселлеры O`Reilly,2 436₽,3 045₽
Python и анализ данных,МакКинни Уэс,,2 503₽,5 563₽
Алгоритмы,Эриксон Джефф,,2 781₽,6 179₽
Алгоритмы принятия решений,Кохендерфер,,3 365₽,7 478₽
Идиомы bash,Олбинг,Питер:Бестселлеры O`Reilly,1 417₽,1 817₽
Алгоритмы биоинформатики,Компо,,3 337₽,7 416₽
Предварительная подготовка данных в Python. Том 1. Инструменты и валидация,Груздев Артем Владимирович,,3 337₽,7 416₽
"Предварительная подготовка данных в Python. Том 2. План, примеры и метрики качества",Груздев Артем Владимирович,,3 337₽,7 416₽
Прогнозирование. Принципы и практика,Хайндман,,2 503₽,5 563₽
Прикладные нейро-нечеткие вычислительные системы и устройства,Бобырь,ИНФРА-М:Научная мысль,1 452₽,3 226₽
"Красивый C++. 30 главных правил чистого, безопасного и быстрого кода",Дэвидсон,Питер:Для профессионалов,3 619₽,
Глубокое обучение с R и KERAS,Шолле Франсуа,,2 781₽,6 179₽
Power BI. Передовые методы оптимизации,Мерчант Бхавик,,1 947₽,4 326₽
"Разработка веб-приложений GraphQL с React, Node.js и Neo4j",Лион Уильям,,2 085₽,4 634₽
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер:Для профессионалов,2 070₽,2 654₽
Объекты. Стильное ООП,Нобак Маттиас,Питер:Библиотека программиста,2 710₽,
Алгоритмы на практике. Решение реальных задач,Зингаро Даниэль,Питер:Библиотека программиста,2 637₽,
Современная программная инженерия. ПО в эпоху эджайла и непрерывного развертывания,Фарли Дэвид,Питер:Для профессионалов,3 000₽,
Внутри Cpython. Гид по интерпретатору Python,Шоу Энтони,Питер:Библиотека программиста,2 528₽,
"40 алгоритмов, которые должен знать каждый программист на Python",Ахмад Имран,Питер:Библиотека программиста,2 501₽,
Грокаем функциональное мышление,Норманд Эрик,Питер:Библиотека программиста,3 272₽,
Структуры данных в С++. Учебное пособие,Русакова,,366₽,814₽
Фундаментальные основы хакерства. Анализ программ в среде Win64,Касперски,Солон-пресс:Программирование,2 783₽,6 184₽
Основы компьютерного моделирования и визуализации + Электронное приложение,Борзяк,Лань:Компьютеры и программное обеспечение,3 394₽,7 543₽
UX/UI дизайн для создания идеального продукта. Полный и исчерпывающий гид,Шуваев Ярослав Александрович,Бомбора:Библиотека цифровой трансформации,1 407₽,1 928₽
Грокаем алгоритмы искусственного интеллекта,Харбанс Ришал,Питер:Библиотека программиста,2 219₽,
Сделай видеоигру один и не свихнись,Грис Слава,АСТ:Видеоигры: глубокое погружение,694₽,951₽
C# 10 и .NET 6. Современная кросс-платформенная разработка,Прайс Марк Дж.,Питер:Для профессионалов,3 797₽,4 746₽
Computer Science для программиста-самоучки. Все что нужно знать о структурах данных и алгоритмах,Альтхофф Кори,Питер:Библиотека программиста,1 810₽,
Непрерывное развитие API. Правильные решения в изменчивом технологическом ландшафте,Меджуи,Питер:Бестселлеры O`Reilly,3 795₽,4 865₽
Head First. Изучаем Swift,Мэннинг,Питер:Head First (O'Reilly),2 807₽,3 599₽
Kubernetes изнутри,Вьяс,,2 085₽,4 634₽
С++ 20 в деталях,Райнер Гримм,,2 503₽,5 563₽
"Математические алгоритмы для программистов. 3D-графика, машинное обучение и моделирование на Python",Орланд Пол,Питер:Библиотека программиста,4 455₽,
Pandas в действии,Пасхавер Борис,Питер:Библиотека программиста,2 738₽,3 510₽
JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1 698₽,3 774₽
Цифровая обработка изображений в OpenCv. Практикум. Учебное пособие,Матвеев Александр Иванович,Лань:Компьютеры и программное обеспечение,679₽,1 508₽
Алгоритмы и программы. Язык С++. Учебное пособие,Конова,Лань:Учебники для вузов. Специальная литература,1 682₽,3 737₽
